ticker,company_name,primary_theme,secondary_theme,industry_group,exposure_tags,role_bucket,cyclicality_bucket,volatility_bucket,liquidity_bucket,manual_review_required,notes
BIDU,Baidu Inc.,INTERNET_PLATFORM,China search and AI,Internet Services,china_internet;search;ai,TACTICAL_BETA,HIGH_BETA_MACRO,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
MOH,Molina Healthcare Inc.,HEALTHCARE,Managed care,Managed Healthcare,medicaid;managed_care,DEFENSIVE_HEDGE,DEFENSIVE,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
ON,ON Semiconductor Corporation,SEMICONDUCTOR,Power and sensing semiconductors,Semiconductors,auto_semis;power;sic,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
MRVL,Marvell Technology Inc.,SEMICONDUCTOR,Data infrastructure semiconductors,Semiconductors,ai_networking;storage;custom_silicon,CORE_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
IRDM,Iridium Communications Inc.,DATA_INFRASTRUCTURE,Satellite communications,Telecommunications,satellite;communications,NON_CORE,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
CIFR,Cipher Mining Inc.,CRYPTO_BETA,Bitcoin mining,Crypto Mining,bitcoin_mining;crypto,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
AFRM,Affirm Holdings Inc.,FINTECH,Buy-now-pay-later,Consumer Finance,bnpl;consumer_credit,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
MU,Micron Technology Inc.,SEMICONDUCTOR,Memory semiconductors,Semiconductors,dram;nand;hbm,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
ZS,Zscaler Inc.,CYBERSECURITY,Cloud security,Cybersecurity Software,zero_trust;secure_access,CORE_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
DELL,Dell Technologies Inc.,AI_INFRASTRUCTURE,Servers and enterprise hardware,Technology Hardware,ai_servers;enterprise_hardware,CYCLICAL_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
MTSI,MACOM Technology Solutions Holdings Inc.,SEMICONDUCTOR,RF and optical semiconductors,Semiconductors,rf;optical;datacenter,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
ACLS,Axcelis Technologies Inc.,SEMICONDUCTOR_EQUIPMENT,Ion implantation equipment,Semiconductor Equipment,wafer_fab;semi_capex,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
SNDK,SanDisk Corporation,SEMICONDUCTOR,Flash storage,Semiconductors,nand;storage,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
APP,AppLovin Corporation,SOFTWARE,Adtech software,Application Software,adtech;mobile_ads,SPECULATIVE_SATELLITE,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
VECO,Veeco Instruments Inc.,SEMICONDUCTOR_EQUIPMENT,Process equipment,Semiconductor Equipment,deposition;advanced_packaging,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
BE,Bloom Energy Corporation,POWER_INFRASTRUCTURE,Fuel cells and distributed power,Clean Power,fuel_cell;distributed_power,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
TXN,Texas Instruments Incorporated,SEMICONDUCTOR,Analog semiconductors,Semiconductors,analog;embedded,CORE_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
CLF,Cleveland-Cliffs Inc.,INDUSTRIAL,Steel,Metals,steel;autos;commodity,TACTICAL_BETA,COMMODITY_CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
ALAB,Astera Labs Inc.,AI_INFRASTRUCTURE,AI connectivity semiconductors,Semiconductors,ai_connectivity;pcie;datacenter,SPECULATIVE_SATELLITE,SECULAR_GROWTH,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
QCOM,QUALCOMM Incorporated,SEMICONDUCTOR,Mobile and edge semiconductors,Semiconductors,mobile_semis;edge_ai,CORE_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
AEHR,Aehr Test Systems,SEMICONDUCTOR_EQUIPMENT,Semiconductor test and burn-in,Semiconductor Equipment,test_equipment;sic,SPECULATIVE_SATELLITE,CYCLICAL,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
AMD,Advanced Micro Devices Inc.,SEMICONDUCTOR,AI and compute processors,Semiconductors,gpu;cpu;ai_compute,CORE_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
NXPI,NXP Semiconductors N.V.,SEMICONDUCTOR,Auto and industrial semiconductors,Semiconductors,auto_semis;industrial,CYCLICAL_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
SOXL,Direxion Daily Semiconductor Bull 3X Shares,SEMICONDUCTOR,Leveraged semiconductor ETF,ETF,leveraged_semiconductor_etf,TACTICAL_BETA,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
BTDR,Bitdeer Technologies Group,CRYPTO_BETA,Bitcoin mining and hash infrastructure,Crypto Mining,bitcoin_mining;crypto,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
INTC,Intel Corporation,SEMICONDUCTOR,Processors and foundry,Semiconductors,cpu;foundry,TACTICAL_BETA,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
FLEX,Flex Ltd.,ELECTRONICS_SUPPLY_CHAIN,Electronics manufacturing services,Electronic Manufacturing Services,ems;hardware_supply_chain,CYCLICAL_GROWTH,CYCLICAL,MEDIUM,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
LSCC,Lattice Semiconductor Corporation,SEMICONDUCTOR,Low-power FPGAs,Semiconductors,fpga;industrial_auto,CYCLICAL_GROWTH,CYCLICAL,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
NAMS,NewAmsterdam Pharma Company N.V.,HEALTHCARE,Metabolic disease biopharma,Biotechnology,biotech;metabolic_disease;clinical_stage;cardiometabolic,SPECULATIVE_SATELLITE,SECULAR_GROWTH,HIGH,MEDIUM,FALSE,V18.28A-R2 controlled remaining-UNKNOWN manual theme patch; no external fetch.
ARM,Arm Holdings plc,SEMICONDUCTOR,CPU IP and architecture,Semiconductors,cpu_ip;mobile;datacenter,CORE_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
BITF,Bitfarms Ltd.,CRYPTO_BETA,Bitcoin mining,Crypto Mining,bitcoin_mining;crypto,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
CLSK,CleanSpark Inc.,CRYPTO_BETA,Bitcoin mining,Crypto Mining,bitcoin_mining;crypto,SPECULATIVE_SATELLITE,HIGH_BETA_MACRO,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
AEVA,Aeva Technologies Inc.,AI_INFRASTRUCTURE,Lidar and sensing,Autonomous Sensing,lidar;autonomy,SPECULATIVE_SATELLITE,SECULAR_GROWTH,EXTREME,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
DDOG,Datadog Inc.,SOFTWARE,Observability software,Infrastructure Software,observability;cloud_monitoring,CORE_GROWTH,SECULAR_GROWTH,HIGH,HIGH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
